proportion_train,proportion_test,value
None,0.1,49501.04253863305
None,0.1,56535.82255265924
None,0.1,50520.14496164223
None,0.1,61659.26869808149
None,0.1,52371.6540302978
None,0.1,57242.56147036516
None,0.1,52379.29033244025
None,0.1,58367.21711070387
None,0.1,51559.228289178995
None,0.1,57388.7295041121
None,0.1,89002.01102408183
None,0.1,64574.32329472409
None,0.1,54247.419970951996
None,0.1,56877.70621880774
None,0.1,50542.53898695327
None,0.1,55190.58855351315
None,0.1,51819.02561067634
None,0.1,55213.37792000366
None,0.1,130841.73737378465
None,0.1,56363.44683007349
None,0.1,52862.42300820531
None,0.1,55169.53436249877
None,0.1,50175.16822254535
None,0.1,56150.09601258387
None,0.1,51801.91417217495
None,0.1,50402.48613265126
None,0.1,82139.80174086701
None,0.1,62835.09734041238
None,0.1,51164.79232262484
None,0.1,49316.37856978977
None,0.1,57412.58708023228
None,0.1,55700.43551390443
None,0.1,51821.3389692841
None,0.1,80833.03800508165
None,0.1,54894.01542426259
None,0.1,200533.97668178898
None,0.1,51978.088075892454
None,0.1,55775.27862013984
None,0.1,57067.28614772807
None,0.1,55352.13833896299
None,0.1,51662.34483595879
None,0.1,53601.29310198912
None,0.1,54716.10640941855
None,0.1,57357.43569856475
None,0.1,69740.82611245412
None,0.1,54158.963658106695
None,0.1,55306.73951845733
None,0.1,55518.48558223338
None,0.1,49350.34961680284
None,0.1,54244.871740295544
None,0.1,55108.267631442504
None,0.1,55253.08664375015
None,0.1,56286.937178395456
None,0.1,53249.59781493949
None,0.1,55783.359058684124
None,0.1,68868.27995899056
None,0.3,49471.39146897227
None,0.1,52433.31393753552
None,0.1,94646.24982175851
None,0.3,55725.73767043488
None,0.3,63229.98792510672
None,0.1,62329.32381318138
None,0.1,55176.581391518404
None,0.3,55665.38416099065
None,0.3,52863.970723535596
None,0.3,52551.11933326241
None,0.3,54947.91390102259
None,0.3,55169.083574145356
None,0.3,49527.24343588918
None,0.3,51678.6729137411
None,0.3,55202.71584206314
None,0.3,58947.98169072791
None,0.3,56239.52754054119
None,0.3,51825.843094184354
None,0.3,58676.77816199766
None,0.3,55130.88987795673
None,0.3,55939.58584987994
None,0.3,52540.1120952635
None,0.3,60673.196618636655
None,0.3,96806.85714003164
None,0.3,66960.09073450147
None,0.3,115548.29073597022
None,0.3,58940.50383739913
None,0.3,56589.8139624487
None,0.3,54236.93559630876
None,0.3,51906.95767506905
None,0.3,54947.57065995861
None,0.3,54897.10147838351
None,0.3,49843.308186009985
None,0.3,54936.66039354915
None,0.3,55431.28005636259
None,0.3,88941.49439357482
None,0.3,56166.45179155567
None,0.3,54278.81586827199
None,0.3,55537.469066472775
None,0.3,54112.03766930963
None,0.3,55490.73139269865
None,0.3,65668.17277530699
None,0.3,57392.31110278132
None,0.3,50526.97705559909
None,0.3,56223.97348484088
None,0.3,51788.69094508481
None,0.3,55002.135574105465
None,0.3,50585.11004916171
None,0.3,55377.25883232793
None,0.3,98770.96905932679
None,0.3,52490.91033878523
None,0.3,56885.63445418292
None,0.3,84108.6984622231
None,0.3,66944.27889345876
None,0.3,52067.42760715288
None,0.3,56643.99316853423
None,0.3,60321.35569458008
None,0.3,51754.51645238574
None,0.5,51245.61421738457
None,0.3,69856.51810534514
None,0.3,56354.998435523026
None,0.5,49917.136156829365
None,0.3,52050.799114775
None,0.5,58765.90189440764
None,0.3,57949.966550439676
None,0.5,127693.50667485503
None,0.3,51809.13720006486
None,0.5,55520.46445976933
None,0.3,55987.359423482936
None,0.5,49659.08764231574
None,0.5,52146.19207486938
None,0.5,55592.15671769154
None,0.5,55207.29182336018
None,0.5,52155.69311963897
None,0.5,52627.64449842631
None,0.5,55312.38681640625
None,0.5,76408.24246392336
None,0.5,50358.13025240554
None,0.5,52136.00997609636
None,0.5,55242.282487207725
None,0.5,58145.87421893828
None,0.5,50383.155964251644
None,0.5,65899.64769460943
None,0.5,52099.6874985827
None,0.5,59667.94633597641
None,0.5,49780.231397736934
None,0.5,55143.15364206048
None,0.5,51984.902992921154
None,0.5,55151.7262275127
None,0.5,49715.8565273522
None,0.5,55175.5379979194
None,0.5,51915.08153881774
None,0.5,65356.030383897014
None,0.5,73712.7486182144
None,0.5,83548.6967538568
None,0.5,51824.74441689748
None,0.5,57779.527738831035
None,0.5,54145.67559940299
None,0.5,55172.28821171628
None,0.5,52016.11446467094
None,0.5,55268.93748464468
None,0.5,52192.87572990496
None,0.5,57109.337473886226
None,0.5,51777.34259429086
None,0.5,54947.432056809455
None,0.5,53600.02153156713
None,0.5,55362.35261387764
None,0.5,51819.77692801526
None,0.5,54951.153704822216
None,0.5,52918.762899497124
None,0.5,67180.44343709825
None,0.5,51688.85695418543
None,0.5,128548.68813263175
None,0.5,59442.80185789915
None,0.5,56855.38147127176
None,0.5,51919.14179304685
None,0.5,55348.78012720417
None,0.7,50117.203679664846
None,0.5,57663.64715097162
None,0.5,51773.512805660066
None,0.5,55033.608055666475
None,0.7,52548.40152441595
None,0.7,55378.22709315608
None,0.5,51796.259614262235
None,0.5,54945.07760517395
None,0.7,50226.45288384821
None,0.7,55335.213107647476
None,0.5,55804.497050134
None,0.5,57589.00785152955
None,0.7,52810.46423906149
None,0.7,73592.08624901107
None,0.7,52357.78929803113
None,0.7,54927.239057839986
None,0.7,49671.10811481279
None,0.7,56589.91942308643
None,0.7,54742.808303487094
None,0.7,49389.652455005446
None,0.7,55496.81942097877
None,0.7,55226.04141461487
None,0.7,58516.78342927794
None,0.7,51317.67911387965
None,0.7,55820.353440782405
None,0.7,55190.97263925287
None,0.7,49653.05405142873
None,0.7,52017.58716196978
None,0.7,54909.046464169856
None,0.7,55892.72663697834
None,0.7,49432.84048192464
None,0.7,91700.02269216388
None,0.7,55062.73327809312
None,0.7,55578.45403538957
None,0.7,54107.5343080501
None,0.7,52094.03275766061
None,0.7,55126.30922974535
None,0.7,55304.54742570708
None,0.7,85639.91972052191
None,0.7,51990.35323161322
None,0.7,64668.41540558724
None,0.7,55249.90933787672
None,0.7,49467.93913930716
None,0.7,51782.26706313126
None,0.7,55165.72701139867
None,0.7,55212.60147249246
None,0.7,49556.58944371803
None,0.7,51742.3624244517
None,0.7,56188.84419026902
None,0.7,55168.100273731085
None,0.7,49479.35911832243
None,0.7,51776.423843595185
None,0.7,55342.4418280045
None,0.7,55142.2660339609
None,0.7,49483.676831130666
None,0.7,53081.10592443817
None,0.7,55494.402167862056
None,0.7,56309.09375521503
None,0.9,83490.99297781089
None,0.7,51984.91747093681
None,0.7,57767.466205037956
None,0.7,56089.928578977946
None,0.9,49690.95871773946
None,0.7,144079.7343356423
None,0.7,55064.82875159099
None,0.9,55732.96436419909
None,0.9,51216.66833433171
None,0.7,51763.86649656896
None,0.9,55795.27713082229
None,0.7,56000.85894351753
None,0.9,58952.27491744523
None,0.9,56126.19094207377
None,0.7,53583.45720190245
None,0.7,55450.1244568028
None,0.9,62352.25931258054
None,0.9,55570.1415734786
None,0.9,51975.62664301029
None,0.9,60196.867203817885
None,0.9,51803.124842692894
None,0.9,55204.79893242196
None,0.9,72892.02967077299
None,0.9,55095.02361964444
None,0.9,49633.51684334352
None,0.9,55312.880730505836
None,0.9,52208.890401114746
None,0.9,54957.81766673992
None,0.9,75160.45707152062
None,0.9,58899.20327951938
None,0.9,51856.03050959921
None,0.9,62227.80855734857
None,0.9,50709.087927749475
None,0.9,55170.50038568038
None,0.9,56340.72776123675
None,0.9,53735.71535386246
None,0.9,53577.5445166519
None,0.9,55644.53306119895
None,0.9,54493.99795463043
None,0.9,82219.38205434608
None,0.9,1125042.331507732
None,0.9,55872.43167276503
None,0.9,55409.19282189665
None,0.9,55311.48028580144
None,0.9,50647.85758421593
None,0.9,55167.81900186177
None,0.9,49784.799128030994
None,0.9,51814.14598157124
None,0.9,58653.18666904322
None,0.9,55639.711072240905
None,0.9,49682.1321451412
None,0.9,61400.857163590204
None,0.9,57823.25817902474
None,0.9,58532.432105419306
None,0.9,190508.56602367913
None,0.9,120975.65199937028
None,0.9,92926.87226863753
None,0.9,55141.37536574738
None,0.9,52153.1902089155
None,0.9,64830.000404181395
None,0.9,55175.057170433334
None,0.9,59801.752565628936
None,0.9,90680.18821798683
None,0.9,55330.753530987735
None,0.9,54319.24883187628
None,0.9,55056.66425334672
None,0.9,52300.60106960652
None,0.9,51862.114666654496
None,0.9,55585.8622642066
