roof	roof
transportation	transportation
train_station	other
hotel	other
construction	construction
school	school
retail	other
commercial	commercial
university	university
residential	other
warehouse	other
office	office
station	other
dormitory	other
hospital	hospital
apartments	apartments
stadium	other
public	other
industrial	other
permanent	other
cathedral	other
temple	other
greenhouse	other
church	other
chapel	other
hut	other
house	other
garage	other
gymnasium	other
cafeteria	other
supermarket	other
manufacture	other
dam	other
no	other
abandoned	other
transformer_tower	other
宿舍	other
general	other
administrative	other
cabin	other
shed	other
service	other
government	other
library	other
kindergarten	other
dormity	other
bus_station	other
parking	parking
yes;shed	other
farm_auxiliary	other
attraction	other
civic	other
college	other
farm	other
sports_hall	other
禮堂	other
商5	other
terrace	other
工廠	other
grandstand	other
ruins	other
car_parking	other
garages	other
bridge	other
museum	other
6	other
classroom	other
kitchen	other
行政大樓	other
activity	other
三興附幼	other
活動中心	other
bunker	other
prison	other
barn	other
stable	other
clinic	other
Gas_station	other
post_office	other
gym	other
mosque	other
管理站	other
hangar	other
apartment	other
shelter	other
sty	other
圖書館	other
detached	other
#D1C8C2	other
public_building	other
healthcare	other
officem	other
X-site2016_temporary	other
1	other
651-1	other
51	other
carport	other
hostel	other
place_of_worship	other
industrial;retail	other
religious	other
tribune	other
infrastructure	other
gate	other
cemetery	other
data_centre	other
balcony	other
sch'	other
motel	other
遺體冷藏室	other
office;yes	other
synagogue	other
pailou	other
bungalow	other
OH!~yes	other
2m	other
cowshed	other
historic	other
public;government	other
sports_centre	other
theater	other
透天厝	other
henhouse	other
7	other
Public	other
廟宇	other
違建	other
Fire_station	other
house,roof	other
semi	other
舊酒廠	other
興隆大廈	other
farmland	other
disused	other
kiosk	other
歷史建物	other
重慶大廈	other
y	other
storage_tank	other
pavilion	other
就是顆石頭	other
Commercial	other
2號風雨棚	other
Residential	other
toilets	other
peak	other
tree	other
volcano	other
beach	other
cave_entrance	other
cliff	other
spring	other
town	other
suburb	other
village	other
county	other
city	other
hamlet	other
locality	other
national_capital	other
island	other
taoist	other
christian_lutheran	other
buddhist	other
christian_catholic	other
christian	other
christian_protestant	other
hindu	other
christian_methodist	other
christian_orthodox	other
muslim	other
parking_multistorey	parking
marina	other
parking_bicycle	other
fuel	fuel
parking_underground	other
waterfall	other
weir	other
taxi	other
ferry_terminal	other
railway_station	other
bus_stop	other
railway_halt	other
